"Installment"," Taksit"
"Payment ID","Ödeme Numarası"
"Payment Success","Ödeme Başarılı, Ödeme Numaranız: "
"Installment Info:","Taksit Bilgisi: "
"Error Code:", "Hata Kodu:"
"Error Message:", "Hata Mesajı:"
"Back", "Geri"
"Token not found", "Token bulunamadı"
"No order found with the given token.", "Token ile sipariş bulunamadı."
"Installment Info: %d Installment / %s %s","Taksit Bilgisi: %d Taksit / %s %s"

"START_ORDER", "Asenkron olarak sipariş başlatıldı."
"3D_SECURITY_ERROR", "3D güvenlik hatası."
"FAILURE", "Ödeme işlemi başarısız."
"SUCCESS", "Ödeme işlemi başarılı."
"INIT_BANK_TRANSFER", "Ödeme işlemi banka havalesi ile başlatıldı."
"INIT_CREDIT", "Ödeme işlemi alışveriş kredisi ile başlatıldı."
"PENDING_CREDIT", "Ödeme işlemi alışveriş kredisi ile bekliyor."
"CREDIT_PAYMENT_PENDING", "Alışveriş kredisi ödemesi bekleniyor."
"CREDIT_PAYMENT_AUTH_SUCCESS", "Alışveriş kredisi ödemesi başarılı."
"CREDIT_PAYMENT_AUTH_FAILURE", "Alışveriş kredisi ödemesi başarısız."
"BANK_TRANSFER_AUTH_SUCCESS", "Banka havalesi ödemesi başarılı."
"RECEIVED_ORDER", "Sipariş alındı."

"NOT_SUFFICIENT_FUNDS", "Kart limiti yetersiz, yetersiz bakiye"
"DO_NOT_HONOUR", "İşlem onaylanmadı"
"INVALID_TRANSACTION", "Geçersiz işlem"
"LOST_CARD", "Kayıp kart, karta el koyunuz"
"STOLEN_CARD", "Çalıntı kart, karta el koyunuz"
"EXPIRED_CARD", "Vadesi dolmuş kart"
"INVALID_CVC2", "CVC2 bilgisi hatalı"
"NOT_PERMITTED_TO_CARDHOLDER", "Kart sahibi bu işlemi yapamaz"
"NOT_PERMITTED_TO_TERMINAL", "Terminalin bu işlemi yapmaya yetkisi yok"
"FRAUD_SUSPECT", "Dolandırıcılık şüphesi"
"RESTRICTED_BY_LAW", "Kartınız e-ticaret işlemlerine kapalıdır. Bankanızı arayınız."
"CARD_NOT_PERMITTED", "Kart, işleme izin vermedi"
"UNKNOWN", "Ödeme işlemi esnasında genel bir hata oluştu"
"INVALID_CVC2_LENGTH", "CVC uzunluğu geçersiz"
"REFER_TO_CARD_ISSUER", "Bankanızdan onay alınız"
"INVALID_MERCHANT_OR_SP", "Üye işyeri kategori kodu hatalı"
"BLOCKED_CARD", "Bloke statülü kart"
"INVALID_CAVV", "Hatalı CAVV bilgisi"
"INVALID_ECI", "Hatalı ECI bilgisi"
"BIN_NOT_FOUND", "BIN bulunamadı"
"COMMUNICATION_OR_SYSTEM_ERROR", "İletişim veya sistem hatası"
"INVALID_CARD_NUMBER", "Geçersiz kart numarası"
"NO_SUCH_ISSUER", "Bankası bulunamadı"
"DEBIT_CARDS_REQUIRES_3DS", "Banka kartları sadece 3D Secure işleminde kullanılabilir"
"REQUEST_TIMEOUT", "Bankaya gönderilen istek zaman aşımına uğradı"
"NOT_PERMITTED_TO_INSTALLMENT", "Terminal taksitli işleme kapalı"
"REQUIRES_DAY_END", "Gün sonu yapılmalı"
"RESTRICTED_CARD", "Kısıtlı kart"
"EXCEEDS_ALLOWABLE_PIN_TRIES", "İzin verilen PIN giriş sayısı aşılmış"
"INVALID_PIN", "Geçersiz PIN"
"ISSUER_OR_SWITCH_INOPERATIVE", "Banka veya terminal işlem yapamıyor"
"INVALID_EXPIRE_YEAR_MONTH", "Son kullanma tarihi geçersiz"
"INVALID_AMOUNT", "Geçersiz tutar"

